name,author,narrator,time,releasedate,language,stars,price,ratings
Focused,AlysonGerber,CassandraMorris,399,2021-07-27,English,0,820,0
Genius Ideas (Mostly),LizPichon,RupertGrint,124,2015-07-20,English,5,398,6
The Marvellous Land of Snergs,E.A.Wyke-Smith,StephenFry,370,2021-07-28,English,5,569,1
The Adventures of Feluda: House of Death,SatyajitRay,RajivDadia,146,2019-05-07,English,4.5,377,18
The Magical Bookshop,KatjaFrixe,LouisaConnolly-Burnham,189,2021-07-28,English,0,417,0
My Family,"LisaBullard,BrandonReibeling",anonymous,4,2022-01-04,English,0,82,0
Winter Fun for Kat,SusanBlackaby,anonymous,1,2022-01-04,English,0,82,0
"Loop, Swoop, and Pull!",JosephP.Anderson,anonymous,2,2022-01-04,English,0,82,0
I See Spring,"CharlesGhigna,AgnieszkaJatkowska",anonymous,1,2022-01-04,English,0,82,0
Rudy Helps Out,"StaceyPrevin,JillL.Donahue",anonymous,2,2022-01-04,English,0,82,0
Gabe's Grocery List,"HeidiSheltonJenck,ZacharyTrover",anonymous,4,2022-01-04,English,0,93,0
Classroom Cookout,"SusanBlackaby,AmyMuehlenhardt",anonymous,4,2022-01-04,English,0,93,0
We Need Water,"CharlesGhigna,AgnieszkaJatkowska",anonymous,1,2022-01-04,English,0,82,0
The Busy Spring,CarlEmerson,anonymous,3,2022-01-04,English,0,93,0
Water Wise,"SusanBlackaby,SusanDeSantis",anonymous,6,2022-01-04,English,0,93,0
Shhhh...,"DanaMeachenRau,RickPeterson",anonymous,3,2022-01-04,English,0,82,0
Lucille Gets Jealous,"JulieGassman,CharlotteCooke",anonymous,4,2022-01-04,English,0,93,0
"Terrible, Awful, Horrible Manners!","RichardWatson,BethBracken",anonymous,4,2022-01-04,English,0,93,0
Back to School,ChristianneC.Jones,anonymous,1,2022-01-04,English,0,82,0
The Flying Fish,"TerriSievert,KristyVisser",anonymous,3,2022-01-04,English,0,93,0
Camden's Game,"NecdetYilmaz,TrishaSpeedShaskan",anonymous,3,2022-01-04,English,0,82,0
Recycling Is Fun,"CharlesGhigna,AgnieszkaJatkowska",anonymous,1,2022-01-04,English,0,82,0
Party of Three,ChristianneC.Jones,anonymous,1,2022-01-04,English,0,82,0
Being Courageous,"StaceyPrevin,JillLynnDonahue",anonymous,2,2022-01-04,English,0,82,0
The Moving Carnival,"JessicaGunderson,CarolineJonesMcKay",anonymous,8,2022-01-04,English,0,93,0
The Bath,"TerriSievert,HyeWonYi",anonymous,2,2022-01-04,English,0,93,0
